#t=1499.9999999987808 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
3.010374773208571945e-04 2.244452140303901666e-01 -1.761466680452021075e-06 -9.665476938804528118e+01 3.071586375519116245e+02 -1.101917449223389440e+03 -2.658028031869238475e+03 1.434193873025962603e+04 1.434924165140179321e+04 -1.140368940684507670e+01 1.434437531948409014e+04
3.488375977621902316e-04 2.225905106615478357e-01 -3.213375845553240710e-05 -7.321651484123172793e+01 3.096967363625462326e+02 -8.344298740948621571e+02 -1.444861476266870113e+03 1.434194878857501499e+04 1.434626783871455154e+04 -1.142595672669875739e+01 1.434339084885353805e+04
4.011624022378098382e-04 2.211551247242599105e-01 -3.145739137927083020e-05 -4.758625976167487437e+01 3.116405998809941025e+02 -5.416823158048528057e+02 1.539518588484919292e+03 1.434194878854284252e+04 1.433712989040544016e+04 -1.142575203062930456e+01 1.434034492654403402e+04
4.489625226791427669e-04 2.203873005415982189e-01 7.165545949451391448e-07 -2.437577336686964458e+01 3.126867558912448999e+02 -2.779758871539954725e+02 3.152587403843865104e+03 1.434193873016875114e+04 1.433170330835073764e+04 -1.140361325498212430e+01 1.433852937605781881e+04
4.839675185637007924e-04 2.201541372081640136e-01 4.346539228353548729e-05 -7.600936594877559571e+00 3.130489417900033118e+02 -8.911310676050568702e+01 1.804970091365903727e+03 1.434192527246064856e+04 1.433599338005252321e+04 -1.137437828588116595e+01 1.433995041580555517e+04
5.000000000000000104e-04 2.201402587327577209e-01 6.843506982818398402e-05 -1.108088114499286483e-03 3.131118589718197995e+02 -4.214619686797129283e+00 -3.706109171171343419e-01 1.434191738908495608e+04 1.434194288853809485e+04 -1.135736686101628123e+01 1.434192831731370643e+04
4.999999999999997936e-04 2.201402587327578320e-01 -6.843507328511692542e-05 1.108089479977993367e-03 3.131118589718207659e+02 4.214619685948363781e+00 3.706109165598561184e-01 1.434191738908495427e+04 1.434194288853808575e+04 -1.135736686101568615e+01 1.434192831731375736e+04
5.160324814362991742e-04 2.201541372081774472e-01 -4.346539566368668096e-05 7.600936596242443777e+00 3.130489417899892146e+02 8.911310675767647638e+01 -1.804970091341248008e+03 1.434192527246067039e+04 1.433599338005297977e+04 -1.137437828587845168e+01 1.433995041580578618e+04
5.510374773208571997e-04 2.203873005416373820e-01 -7.165579825150705616e-07 2.437577336822235807e+01 3.126867558911951619e+02 2.779758871588051079e+02 -3.152587403816025471e+03 1.434193873016871112e+04 1.433170330835166351e+04 -1.140361325496948197e+01 1.433852937605808438e+04
5.988375977621902910e-04 2.211551247243305485e-01 3.145738796467639021e-05 4.758625976298703364e+01 3.116405998808970139e+02 5.416823158113600130e+02 -1.539518588487517718e+03 1.434194878854283525e+04 1.433712989040585308e+04 -1.142575203060051692e+01 1.434034492654414862e+04
6.511624022378099518e-04 2.225905106616514473e-01 3.213375498014479974e-05 7.321651484246872599e+01 3.096967363623987808e+02 8.344298741166471700e+02 1.444861476283486354e+03 1.434194878857501135e+04 1.434626783871409498e+04 -1.142595672665345852e+01 1.434339084885338525e+04
6.989625226791427179e-04 2.244452140305196741e-01 1.761463645403126417e-06 9.665476938918834549e+01 3.071586375517280771e+02 1.101917449259037539e+03 2.658028031923623530e+03 1.434193873025963148e+04 1.434924165140096920e+04 -1.140368940678489196e+01 1.434437531948379365e+04
7.339675185637008518e-04 2.261325807145975475e-01 -3.871163238373713457e-05 1.137370468884172112e+02 3.048401257059936711e+02 1.295812852672089548e+03 1.410368754651621657e+03 1.434192527259469352e+04 1.434552246121743701e+04 -1.137350559388809224e+01 1.434312652437487850e+04
7.500000000000000156e-04 2.269983155936712849e-01 -6.224830009199448485e-05 1.215183753821762451e+02 3.036521161063953400e+02 1.383645301929479274e+03 -3.934657700146197534e+00 1.434191738923870071e+04 1.434193953315701037e+04 -1.135570740471091078e+01 1.434192690998412218e+04
7.499999999999999072e-04 2.269986600517596709e-01 4.391085299370513380e-04 1.215215706398831230e+02 3.036523593008253101e+02 1.389088510641507128e+03 -3.873638179823262639e+00 1.434194784486436947e+04 1.434197658093132668e+04 -1.131374647653947285e+01 1.434196015954988980e+04
7.660324814362991794e-04 2.278771158020257148e-01 2.813339096880002597e-04 1.292086210601375171e+02 3.023255957843992405e+02 1.474992196529978401e+03 -6.352522184812028172e+02 1.434194476107145601e+04 1.431976406106960712e+04 -1.134713155037531962e+01 1.433455415594507213e+04
8.010374773208572049e-04 2.301512446798815170e-01 1.463512085367113386e-05 1.464205185022356943e+02 2.992172355914352124e+02 1.669300010148349429e+03 -6.133363241246779580e+02 1.434193949670227994e+04 1.430237999025311001e+04 -1.140290265157923955e+01 1.432875617280413280e+04
8.488375977621902962e-04 2.340456087085898973e-01 -1.798716476249466304e-04 1.706799167331350588e+02 2.943745688711078969e+02 1.945898076218834376e+03 5.172834585710056388e+01 1.434193556205626555e+04 1.432227357088586177e+04 -1.144282272057073335e+01 1.433538442826482969e+04
9.011624022378098486e-04 2.393529297408771572e-01 -1.765714747841855053e-04 1.978893278779432876e+02 2.881037123934374904e+02 2.256925842656028180e+03 -4.385200913026793046e+02 1.434193556203657681e+04 1.436059874523579128e+04 -1.144186817454821714e+01 1.434815833293696596e+04
9.489625226791427231e-04 2.451553275866411308e-01 1.183979721950895573e-05 2.230071036935732138e+02 2.813846548100928544e+02 2.542183377675034080e+03 -1.417730946127124298e+03 1.434193949664641150e+04 1.437587663061092644e+04 -1.140368866230424238e+01 1.435325179207331166e+04
9.839675185637007486e-04 2.499823337347095997e-01 2.537117303842474918e-04 2.413853715239702353e+02 2.758473322012573021e+02 2.748489992208502827e+03 -9.809519226571495665e+02 1.434194476099096210e+04 1.435964983982286140e+04 -1.135508850090997690e+01 1.434784461138434381e+04
1.000000000000000021e-03 2.523562370435686875e-01 3.918666397996616469e-04 2.497648993775709130e+02 2.731401432171042529e+02 2.841632913591858141e+03 -1.642915590149332772e+01 1.434194784477481517e+04 1.434195568942482896e+04 -1.132740075257423840e+01 1.434194768473228942e+04
