#t=0.7999607263521227 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
1.562500000000000000e-01 4.738639965123254158e-06 2.647414802688695659e+02 1.879717236899931245e-06 2.192549258503384806e+02 -3.742092176781118829e-01 1.576279807414819503e-04 2.974415844953480770e-01 2.986712097130839738e-01 -6.375661735361086443e-08 2.982612712028071544e-01
1.562500000000000000e-01 4.738639626115948010e-06 2.647402140569842572e+02 -6.478505094266141933e-06 2.192566364259154739e+02 -3.785573709177986190e-01 -5.394706906726578566e-05 2.974541635424036712e-01 2.986683181204030646e-01 -1.157273390433982096e-07 2.982635768292927758e-01
1.660156250000000000e-01 4.726063747894456041e-06 2.651557972775921144e+02 -1.611890289607385945e-07 2.194712719821819462e+02 -4.818069734606571508e-01 -1.738658773364505216e-04 2.970269195069948354e-01 2.981313507198345425e-01 8.273932394633958397e-08 2.977632174220231076e-01
1.757812500000000000e-01 4.713075935470224708e-06 2.655619584667232971e+02 1.519950025519002812e-05 2.197139639557459247e+02 -5.905172924341240970e-01 3.529763735443315511e-04 2.966208612812527567e-01 2.975995117905147480e-01 1.307135940212997797e-07 2.972732895429994748e-01
1.757812500000000000e-01 4.713020370227579553e-06 2.655527244541953564e+02 -4.026451347299512672e-06 2.197193385121481981e+02 -5.923852216251660474e-01 4.802981802972323185e-04 2.966266814125927409e-01 2.976021811870582789e-01 -1.247430327788244323e-08 2.972770565085134375e-01
1.855468750000000000e-01 4.699829412813645293e-06 2.659254810987011410e+02 -3.849204201273171325e-06 2.200376622656751806e+02 -7.115986788689540044e-01 -2.143593844344256303e-04 2.962873503963895372e-01 2.971681134503842414e-01 2.813084018227643537e-08 2.968745096108467707e-01
1.953125000000000000e-01 4.686010611049333062e-06 2.663026130649397487e+02 1.139253682890445326e-05 2.203975500501435079e+02 -8.396904899810953005e-01 4.083406743488759310e-04 2.959754080331902792e-01 2.967408991694250320e-01 7.117058246391318377e-08 2.964857486472485260e-01
1.953125000000000000e-01 4.686027831627062257e-06 2.662997642760139456e+02 1.134567765779242665e-05 2.204011937857459031e+02 -8.402732427918526703e-01 3.938879854797644480e-05 2.959824285957628476e-01 2.967464379279816655e-01 2.103816644348716745e-08 2.964917398863102793e-01
2.050781250000000000e-01 4.671584546863611010e-06 2.666522249225073438e+02 -6.905597850513762791e-06 2.208357178590373167e+02 -9.749127948107283448e-01 -6.447274543658511456e-05 2.957051386178941033e-01 2.963883554323016867e-01 -8.067638371286556240e-08 2.961606284255627886e-01
2.148437500000000000e-01 4.656189651259036476e-06 2.670040942996976696e+02 -2.330062686169833809e-06 2.213297596501911926e+02 -1.118586964308278642e+00 -1.247045229682400606e-04 2.954467998310256194e-01 2.960441128255377752e-01 -3.116629372212635208e-08 2.958450220332537461e-01
2.148437500000000000e-01 4.656195370349547128e-06 2.670010358751706576e+02 -6.582702356514775975e-06 2.213324163752168658e+02 -1.120920493211006619e+00 -2.649282447923947915e-04 2.954567779821122842e-01 2.960449189593969410e-01 -1.788856810610297417e-07 2.958489365839495067e-01
2.246093750000000000e-01 4.639992415290789539e-06 2.673434301772506956e+02 8.062284446347139078e-06 2.219100225248586185e+02 -1.276214300331275808e+00 1.869337693332287628e-04 2.952329131999359424e-01 2.957667636862788552e-01 8.481164302014189495e-08 2.955888042205096489e-01
2.343750000000000000e-01 4.622497762132857470e-06 2.676883988841725568e+02 6.185033310203485259e-06 2.225611497034201705e+02 -1.442883265461992526e+00 7.828355187372920622e-05 2.950223293363037902e-01 2.954964176776320173e-01 -2.018982055055871981e-08 2.953383594810581880e-01
2.343750000000000000e-01 4.622488924078370297e-06 2.676861318005325074e+02 -1.744630781324982560e-06 2.225628210836941321e+02 -1.443948812638731427e+00 -1.028711254118191520e-04 2.950287856294865341e-01 2.954955941049768331e-01 -1.030670332317001118e-07 2.953400127196501579e-01
2.441406250000000000e-01 4.603816445163075987e-06 2.680332112801756921e+02 3.771612263856956083e-06 2.233031255758209568e+02 -1.624093829748335382e+00 1.136758700560276939e-05 2.948454974429074449e-01 2.952653865146654399e-01 -4.853737247641446130e-08 2.951254038129411117e-01
2.539062500000000000e-01 4.583642762372060435e-06 2.683879868981047139e+02 3.872402301407837214e-06 2.241345465638750909e+02 -1.816216430399166581e+00 -2.125008839924842088e-04 2.946772891465543887e-01 2.950505933213669607e-01 -5.735307053553707053e-08 2.949262004318969344e-01
2.539062500000000000e-01 4.583664537674493446e-06 2.683902335722291923e+02 -6.975563018421064384e-06 2.241362989637390228e+02 -1.816720032296533338e+00 -1.398381146111863575e-04 2.946823210156731543e-01 2.950536273613933447e-01 6.918986604053270016e-08 2.949299074209338345e-01
2.636718750000000000e-01 4.561931778327687585e-06 2.687507392956739523e+02 1.189461789740336855e-05 2.250666766749500312e+02 -2.024832364040646926e+00 9.838527973989775078e-05 2.945279128008692071e-01 2.948610393493428239e-01 -5.652752666817394934e-08 2.947499750353293479e-01
2.734375000000000000e-01 4.538413030337562613e-06 2.691205353544426657e+02 1.123412282708311389e-05 2.261021354932578618e+02 -2.244568431671598585e+00 -3.038734591906781259e-04 2.943807105289783510e-01 2.946787742920984332e-01 1.462048042826863224e-07 2.945794684196934576e-01
2.734374999999999445e-01 4.538408547876325268e-06 2.691216966834691675e+02 -3.384755332824124031e-06 2.261029118375592191e+02 -2.244252079223910457e+00 -3.762725326824341104e-04 2.943832826700635841e-01 2.946786351107979485e-01 1.287933032372474281e-08 2.945801889390212702e-01
2.832031250000000000e-01 4.513147043823114124e-06 2.695030911157953710e+02 -4.951444190571160813e-07 2.272537593863706320e+02 -2.480554321911295101e+00 1.626638090065031571e-04 2.942510267761403453e-01 2.945218275388691298e-01 5.898602185191022219e-08 2.944315548455005427e-01
2.929687500000000000e-01 4.485942330861377167e-06 2.698994798012416823e+02 6.386806082895502954e-06 2.285269008714195991e+02 -2.732389210660501000e+00 2.463190516639121732e-05 2.941332914057763204e-01 2.943778217979947098e-01 8.655044830993119635e-08 2.942963045412002043e-01
