#t=30.00000000000189 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
3.488375977621902316e-04 2.238322814690616239e-03 1.102122951578675967e-03 -6.690195212511368084e+01 3.178890485188046000e+02 -6.995572657162381347e+02 1.636077922737778749e+02 1.471735371403096053e+02 1.492328420476327153e+02 -1.046657834793364827e+01 1.480494662994009900e+02
4.011624022378098382e-04 2.226525506440953876e-03 1.108398751768778978e-03 -4.357183446721936093e+01 3.195492357774847392e+02 -4.553728098339188364e+02 1.220327442452328768e+02 1.471735371327014548e+02 1.491938542025304173e+02 -1.046663585028240995e+01 1.480382751077431180e+02
4.489625226791427669e-04 2.220163791322355123e-03 -6.495551511810412752e-05 -2.240388813684275249e+01 3.204469783429656786e+02 -2.342151513483903500e+02 7.470354420892901715e+01 1.471728945189854869e+02 1.491673273397269952e+02 -1.045249344986403983e+01 1.480300052442059950e+02
4.839675185637007924e-04 2.218179157163688124e-03 -1.640817436590443629e-03 -7.062775710232159554e+00 3.207543698363926410e+02 -7.468691537506946077e+01 2.142256332258644136e+01 1.471720347206634187e+02 1.491966635696811920e+02 -1.043344573741903858e+01 1.480395513477713791e+02
5.000000000000000104e-04 2.218025090239956771e-03 -2.564121576865795952e-03 -9.671533741380623772e-02 3.208036529638258685e+02 -2.567664917368317923e+00 -1.147330022267457750e+01 1.471715310557501368e+02 1.492349213446828173e+02 -1.042224947530722901e+01 1.480520133776625471e+02
4.999999999999997936e-04 2.218025090239963710e-03 2.564121576769123282e-03 9.671533741654762817e-02 3.208036529638251864e+02 2.567664917255148893e+00 1.147330022263850502e+01 1.471715310557501368e+02 1.492349213446833005e+02 -1.042224947530726986e+01 1.480520133776627176e+02
5.160324814362991742e-04 2.218179157163692461e-03 1.640817436440185784e-03 7.062775710234844517e+00 3.207543698363929821e+02 7.468691537498175137e+01 -2.142256332260731000e+01 1.471720347206639588e+02 1.491966635696812773e+02 -1.043344573741904391e+01 1.480395513477718623e+02
5.510374773208571997e-04 2.220163791322356424e-03 6.495551495653533044e-05 2.240388813684553071e+01 3.204469783429649397e+02 2.342151513486082024e+02 -7.470354420892654446e+01 1.471728945189854016e+02 1.491673273397273931e+02 -1.045249344986403628e+01 1.480300052442057392e+02
5.988375977621902910e-04 2.226525506440954743e-03 -1.108398751812575975e-03 4.357183446722198283e+01 3.195492357774855350e+02 4.553728098337773531e+02 -1.220327442452031619e+02 1.471735371327013411e+02 1.491938542025309289e+02 -1.046663585028241883e+01 1.480382751077435159e+02
6.511624022378099518e-04 2.238322814690611902e-03 -1.102122951531634820e-03 6.690195212511613931e+01 3.178890485188052821e+02 6.995572657159976870e+02 -1.636077922738005270e+02 1.471735371403091222e+02 1.492328420476334827e+02 -1.046657834793353636e+01 1.480494662994010184e+02
6.989625226791427179e-04 2.253515418250081476e-03 6.521249431328927394e-05 8.822801682759508424e+01 3.157328879917706672e+02 9.222404602724421920e+02 -2.112833393858942657e+02 1.471728945404445597e+02 1.492226784980313994e+02 -1.045250320893009999e+01 1.480433534856992992e+02
7.339675185637008518e-04 2.267315448013877081e-03 1.607042329126841381e-03 1.037823723010400556e+02 3.137685324516041874e+02 1.083833378301988887e+03 -2.612369211976909469e+02 1.471720347523963426e+02 1.491702656544254921e+02 -1.043379821614055381e+01 1.480232351542106244e+02
7.500000000000000156e-04 2.274390844340204356e-03 2.502615586195379698e-03 1.108742307104984661e+02 3.127626901282671952e+02 1.157174349475651070e+03 -2.901926148494287645e+02 1.471715310923562470e+02 1.491322326073273246e+02 -1.042288005410008367e+01 1.480091609440965783e+02
7.499999999999999072e-04 2.275836525512581199e-03 8.127046691312576898e-02 1.113771558884530890e+02 3.127152400981142932e+02 1.142064205820493726e+03 -2.812095602310724303e+02 1.471824462828045341e+02 1.493086751316333505e+02 -1.027332400192050166e+01 1.480807715430202904e+02
7.660324814362991794e-04 2.282090406048172589e-03 5.186286237456090575e-02 1.181353041571988172e+02 3.116458559990004460e+02 1.219984186838535152e+03 -2.855954395165722417e+02 1.471790228274585957e+02 1.490149578653871743e+02 -1.033892367250626343e+01 1.479799103543106753e+02
8.010374773208572049e-04 2.299426982905299066e-03 2.025921379365926665e-03 1.334957641005858591e+02 3.090697935359117992e+02 1.394815199894462694e+03 -3.152758590179259954e+02 1.471731695977480285e+02 1.487279167366837100e+02 -1.044884659870662880e+01 1.478715903372029459e+02
8.488375977621902962e-04 2.331257811339384773e-03 -3.445342189075437100e-02 1.556272493067436926e+02 3.048574930794343913e+02 1.639504992764659619e+03 -4.096910622945008527e+02 1.471687875277696946e+02 1.488320267696420558e+02 -1.052786735483485714e+01 1.478753333483161896e+02
9.011624022378098486e-04 2.376898918834823883e-03 -3.379217844616143329e-02 1.810390753540106061e+02 2.990833280278086477e+02 1.906768793929528101e+03 -5.736797558703628965e+02 1.471687875883008871e+02 1.491063271506545789e+02 -1.052582664307652749e+01 1.479147473300805586e+02
9.489625226791427231e-04 2.428456856291845000e-03 1.917367098630377202e-03 2.049870383136910732e+02 2.925710690281121060e+02 2.141866927620231309e+03 -7.341032506927714394e+02 1.471731696193104426e+02 1.490522479377029299e+02 -1.044918060606437038e+01 1.478326388151293997e+02
9.839675185637007486e-04 2.472187560853362706e-03 4.787358338093167937e-02 2.227799820880991319e+02 2.869983684535607722e+02 2.304040964010455809e+03 -8.160168605879415509e+02 1.471790233307848723e+02 1.486098966324979642e+02 -1.035131033929174471e+01 1.476282266853338285e+02
1.000000000000000021e-03 2.493902832462182185e-03 7.416269438273474790e-02 2.309639835505703900e+02 2.842154007700917191e+02 2.374629806076670320e+03 -8.324058197456370181e+02 1.471824476333038945e+02 1.482545963338634465e+02 -1.029544411703824736e+01 1.474808710984991080e+02
